Title_Mr,FarePerPerson,Fare,Fare_log,Age_log,Age,Sex_male,Sex_female,Pclass,FamilySize,SibSp,Title_Mrs,Title_Miss,Parch,Embarked_S,Survived
True,3.625,7.25,2.110213200346589,3.1354942159291497,22.0,True,False,3,2,1,False,False,0,True,0
False,35.64165,71.2833,4.2805931204649,3.6635616461296463,38.0,False,True,1,2,1,True,False,0,False,1
False,7.925,7.925,2.188856327665703,3.295836866004329,26.0,False,True,3,1,0,False,True,0,True,1
False,26.55,53.1,3.990834185852436,3.58351893845611,35.0,False,True,1,2,1,True,False,0,True,1
True,8.05,8.05,2.2027647577118348,3.58351893845611,35.0,True,False,3,1,0,False,False,0,True,0
True,8.4583,8.4583,2.246892662898172,3.367295829986474,28.0,True,False,3,1,0,False,False,0,False,0
True,51.8625,51.8625,3.967694202798607,4.007333185232471,54.0,True,False,1,1,0,False,False,0,True,0
False,4.215,21.075,3.0944457464900235,1.0986122886681098,2.0,True,False,3,5,3,False,False,1,True,0
False,3.7111,11.1333,2.495953738718064,3.332204510175204,27.0,False,True,3,3,0,True,False,2,True,1
False,15.0354,30.0708,3.436268471383741,2.70805020110221,14.0,False,True,2,2,1,True,False,0,False,1
False,5.566666666666666,16.7,2.873564639579784,1.6094379124341005,4.0,False,True,3,3,1,False,True,1,True,1
False,26.55,26.55,3.316002535598924,4.07753744390572,58.0,False,True,1,1,0,False,True,0,True,1
True,8.05,8.05,2.2027647577118348,3.044522437723423,20.0,True,False,3,1,0,False,False,0,True,0
True,4.467857142857143,31.275,3.4742929367327062,3.688879454113936,39.0,True,False,3,7,1,False,False,5,True,0
False,7.8542,7.8542,2.180891922715322,2.70805020110221,14.0,False,True,3,1,0,False,True,0,True,0
False,16.0,16.0,2.833213344056216,4.02535169073515,55.0,False,True,2,1,0,True,False,0,True,1
False,4.854166666666667,29.125,3.405355391810819,1.0986122886681098,2.0,True,False,3,6,4,False,False,1,False,0
True,13.0,13.0,2.6390573296152584,3.367295829986474,28.0,True,False,2,1,0,False,False,0,True,1
False,9.0,18.0,2.9444389791664403,3.4657359027997265,31.0,False,True,3,2,1,True,False,0,True,0
False,7.225,7.225,2.107178296651436,3.367295829986474,28.0,False,True,3,1,0,True,False,0,False,1
True,26.0,26.0,3.295836866004329,3.58351893845611,35.0,True,False,2,1,0,False,False,0,True,0
True,13.0,13.0,2.6390573296152584,3.555348061489413,34.0,True,False,2,1,0,False,False,0,True,1
False,8.0292,8.0292,2.200463769927285,2.772588722239781,15.0,False,True,3,1,0,False,True,0,False,1
True,35.5,35.5,3.597312260588446,3.367295829986474,28.0,True,False,1,1,0,False,False,0,True,1
False,4.215,21.075,3.0944457464900235,2.19722457733622,8.0,False,True,3,5,3,False,True,1,True,0
False,4.483928571428572,31.3875,3.4777725458882283,3.6635616461296463,38.0,False,True,3,7,1,True,False,5,True,1
True,7.225,7.225,2.107178296651436,3.367295829986474,28.0,True,False,3,1,0,False,False,0,False,0
True,41.50103666666673,249.00622000000035,5.521485797552746,2.995732273553991,19.0,True,False,1,6,3,False,False,2,True,0
False,7.8792,7.8792,2.1837114628556327,3.367295829986474,28.0,False,True,3,1,0,False,True,0,False,1
True,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
False,27.7208,27.7208,3.357621598945279,3.713572066704308,40.0,True,False,1,1,0,False,False,0,False,0
False,73.2604,146.5208,4.993969182787072,3.367295829986474,28.0,False,True,1,2,1,True,False,0,False,1
False,7.75,7.75,2.169053700369523,3.367295829986474,28.0,False,True,3,1,0,False,True,0,False,1
True,10.5,10.5,2.4423470353692043,4.189654742026425,65.0,True,False,2,1,0,False,False,0,True,0
True,41.0854,82.1708,4.420896324687287,3.367295829986474,28.0,True,False,1,2,1,False,False,0,False,0
True,26.0,52.0,3.970291913552122,3.7612001156935615,42.0,True,False,1,2,1,False,False,0,True,0
True,7.2292,7.2292,2.1076888046179385,3.367295829986474,28.0,True,False,3,1,0,False,False,0,False,1
True,8.05,8.05,2.2027647577118348,3.091042453358316,21.0,True,False,3,1,0,False,False,0,True,0
False,6.0,18.0,2.9444389791664403,2.9444389791664403,18.0,False,True,3,3,2,False,True,0,True,0
False,5.62085,11.2417,2.5048481563289,2.70805020110221,14.0,False,True,3,2,1,False,True,0,False,1
False,4.7375,9.475,2.348991465808201,3.713572066704308,40.0,False,True,3,2,1,True,False,0,True,0
False,10.5,21.0,3.091042453358316,3.332204510175204,27.0,False,True,2,2,1,True,False,0,True,0
True,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,True,False,3,1,0,False,False,0,False,0
False,10.3948,41.5792,3.751365871125377,1.3862943611198906,3.0,False,True,2,4,1,False,True,2,False,1
False,7.8792,7.8792,2.1837114628556327,2.995732273553991,19.0,False,True,3,1,0,False,True,0,False,1
True,8.05,8.05,2.2027647577118348,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
True,7.75,15.5,2.803360380906535,3.367295829986474,28.0,True,False,3,2,1,False,False,0,False,0
False,7.75,7.75,2.169053700369523,3.367295829986474,28.0,False,True,3,1,0,False,True,0,False,1
True,7.226400000000001,21.6792,3.121448204868825,3.367295829986474,28.0,True,False,3,3,2,False,False,0,False,0
False,8.9,17.8,2.933856869835904,2.9444389791664403,18.0,False,True,3,2,1,True,False,0,True,0
False,6.614583333333333,39.6875,3.705920919968788,2.079441541679836,7.0,True,False,3,6,4,False,False,1,True,0
True,7.8,7.8,2.174751721484161,3.091042453358316,21.0,True,False,3,1,0,False,False,0,True,0
False,38.3646,76.7292,4.353230991152628,3.912023005428146,49.0,False,True,1,2,1,True,False,0,False,1
False,13.0,26.0,3.295836866004329,3.4011973816621555,29.0,False,True,2,2,1,True,False,0,True,1
True,30.9896,61.9792,4.142804513146981,4.189654742026425,65.0,True,False,1,2,0,False,False,1,False,0
True,35.5,35.5,3.597312260588446,3.367295829986474,28.0,True,False,1,1,0,False,False,0,True,1
False,10.5,10.5,2.4423470353692043,3.091042453358316,21.0,False,True,2,1,0,False,True,0,True,1
True,7.2292,7.2292,2.1076888046179385,3.3843902633457743,28.5,True,False,3,1,0,False,False,0,False,0
False,6.9375,27.75,3.3586377672433594,1.791759469228055,5.0,False,True,2,4,1,False,True,2,True,1
False,5.8625,46.9,3.8691155044168695,2.4849066497880004,11.0,True,False,3,8,5,False,False,2,True,0
True,7.2292,7.2292,2.1076888046179385,3.1354942159291497,22.0,True,False,3,1,0,False,False,0,False,0
False,80.0,80.0,4.394449154672439,3.6635616461296463,38.0,False,True,1,1,0,False,True,0,True,1
True,41.7375,83.475,4.436455632600354,3.828641396489095,45.0,True,False,1,2,1,False,False,0,True,0
False,4.65,27.9,3.3638415951183864,1.6094379124341005,4.0,True,False,3,6,3,False,False,2,True,0
True,27.7208,27.7208,3.357621598945279,3.367295829986474,28.0,True,False,1,1,0,False,False,0,False,0
False,5.081933333333333,15.2458,2.787834413830345,3.367295829986474,28.0,True,False,3,3,1,False,False,1,False,1
False,10.5,10.5,2.4423470353692043,3.4011973816621555,29.0,False,True,2,1,0,True,False,0,True,1
True,8.1583,8.1583,2.2146605719425225,2.995732273553991,19.0,True,False,3,1,0,False,False,0,True,0
False,1.1321428571428571,7.925,2.188856327665703,2.8903717578961645,17.0,False,True,3,7,4,False,True,2,True,1
True,2.8875,8.6625,2.2682524139135403,3.295836866004329,26.0,True,False,3,3,2,False,False,0,True,0
True,10.5,10.5,2.4423470353692043,3.49650756146648,32.0,True,False,2,1,0,False,False,0,True,0
False,5.8625,46.9,3.8691155044168695,2.833213344056216,16.0,False,True,3,8,5,False,True,2,True,0
True,73.5,73.5,4.310799125385514,3.091042453358316,21.0,True,False,2,1,0,False,False,0,True,0
True,7.2271,14.4542,2.737880811060884,3.295836866004329,26.0,True,False,3,2,1,False,False,0,False,0
True,56.4958,56.4958,4.05171190165724,3.49650756146648,32.0,True,False,3,1,0,False,False,0,True,1
True,7.65,7.65,2.157559320943788,3.258096538021482,25.0,True,False,3,1,0,False,False,0,True,0
True,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
True,8.05,8.05,2.2027647577118348,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
False,9.666666666666666,29.0,3.4011973816621555,0.6043159668533294,0.83,True,False,2,3,0,False,False,2,True,1
False,12.475,12.475,2.600836116795061,3.4339872044851463,30.0,False,True,3,1,0,False,True,0,True,1
True,9.0,9.0,2.302585092994046,3.1354942159291497,22.0,True,False,3,1,0,False,False,0,True,0
True,9.5,9.5,2.3513752571634776,3.4011973816621555,29.0,True,False,3,1,0,False,False,0,True,1
False,7.7875,7.7875,2.1733302571367834,3.367295829986474,28.0,False,True,3,1,0,False,True,0,False,1
True,47.1,47.1,3.873282177111716,3.367295829986474,28.0,True,False,1,1,0,False,False,0,True,0
False,10.5,10.5,2.4423470353692043,2.8903717578961645,17.0,False,True,2,1,0,False,True,0,True,1
False,3.9625,15.85,2.8243506567983707,3.5263605246161616,33.0,False,True,3,4,3,True,False,0,True,1
True,6.875,34.375,3.566005355963401,2.833213344056216,16.0,True,False,3,5,1,False,False,3,True,0
True,8.05,8.05,2.2027647577118348,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
False,41.50103666666673,249.00622000000035,5.521485797552746,3.1780538303479458,23.0,False,True,1,6,3,False,True,2,True,1
True,8.05,8.05,2.2027647577118348,3.218875824868201,24.0,True,False,3,1,0,False,False,0,True,0
True,8.05,8.05,2.2027647577118348,3.4011973816621555,29.0,True,False,3,1,0,False,False,0,True,0
True,7.8542,7.8542,2.180891922715322,3.044522437723423,20.0,True,False,3,1,0,False,False,0,True,0
True,30.5875,61.175,4.1299529896894684,3.8501476017100575,46.0,True,False,1,2,1,False,False,0,True,0
True,5.14375,20.575,3.0715352369694915,3.295836866004329,26.0,True,False,3,4,1,False,False,2,True,0
True,7.25,7.25,2.110213200346589,4.0943445622221,59.0,True,False,3,1,0,False,False,0,True,0
True,8.05,8.05,2.2027647577118348,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
True,34.6542,34.6542,3.57386695198272,4.189654742026425,65.0,True,False,1,1,0,False,False,0,False,0
True,31.67915,63.3583,4.164465907853638,3.1780538303479458,23.0,True,False,1,2,0,False,False,1,False,1
False,11.5,23.0,3.1780538303479458,3.555348061489413,34.0,False,True,2,2,0,True,False,1,True,1
True,13.0,26.0,3.295836866004329,3.555348061489413,34.0,True,False,2,2,1,False,False,0,True,0
False,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,False,True,3,1,0,False,True,0,True,0
True,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
True,38.64375,77.2875,4.360387947851531,3.091042453358316,21.0,True,False,1,2,0,False,False,1,True,0
True,8.6542,8.6542,2.267393053825037,3.5263605246161616,33.0,True,False,3,1,0,False,False,0,True,0
True,2.6416666666666666,7.925,2.188856327665703,3.6375861597263857,37.0,True,False,3,3,2,False,False,0,True,0
True,7.8958,7.8958,2.1855792552411137,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,0
False,7.65,7.65,2.157559320943788,3.091042453358316,21.0,False,True,3,1,0,False,True,0,True,1
True,7.775,7.775,2.1719067693519296,3.367295829986474,28.0,True,False,3,1,0,False,False,0,True,1
True,7.8958,7.8958,2.1855792552411137,3.6635616461296463,38.0,True,False,3,1,0,False,False,0,True,0
False,12.075,24.15,3.224857896545748,3.367295829986474,28.0,False,True,3,2,1,False,True,0,False,1
True,52.0,52.0,3.970291913552122,3.871201010907891,47.0,True,False,1,1,0,False,False,0,True,0
False,7.2271,14.4542,2.737880811060884,2.740840023925201,14.5,False,True,3,2,1,False,True,0,False,0
True,8.05,8.05,2.2027647577118348,3.1354942159291497,22.0,True,False,3,1,0,False,False,0,True,0
False,4.9125,9.825,2.381858273888553,3.044522437723423,20.0,False,True,3,2,1,False,True,0,True,0
False,14.4583,14.4583,2.738146075922933,2.8903717578961645,17.0,False,True,3,1,0,False,True,0,False,0
True,7.925,7.925,2.188856327665703,3.091042453358316,21.0,True,False,3,1,0,False,False,0,True,0
True,7.75,7.75,2.169053700369523,4.189654742026425,65.0,True,False,3,1,0,False,False,0,False,0
